source,chapter,page,tags,question,a,b,c,d ,answer,display
Chapter 10,,556,"Baking, Lipids, Cakes",Distinguish which one of following statement of modified fats and flours is true.,"Hydrogenated vegetable shortenings and chlorinated flour are very useful, it has the flavor that butter does.","Cake bakers use high-protein pastry or cake flours to minimize the toughening that comes with gluten formation,",The moistening and tenderizing effects of fat can be imitated by some concentrated fruit purees.,Cake pans would not have influence on their contents by affecting the rate and distribution of heating.,C,true 
Chapter 10,10,556,"Baking, Carbohydrates, Cakes",Describe why sugar is incorporated into cake mixes.,Add flavor,Incorporate air into the mixture,Make cakes fluffy,A and B,B,true 
Chapter 10,10,558,"Baking, Cakes",Describe the expansion phase for baking cakes.,"First the batter shrinks to it proper size. As the batter temperature rises, the gases expand, and release carbon nitride.","First the batter expands to its full volume. As the batter temperature rises, the gases expand, and release carbon nitride.","First the batter shrinks to proper size. As the batter temperature rises, the gases expand, and release carbon dioxide.","First the batter expands to its full volume. As the batter temperature rises, the gases expand, and release carbon dioxide.",D,true 
Chapter 10,10,554,"Baking, Yeast, Cakes","Batter breads and muffins are similar, yet different. Please explain which statement below makes them different.","Batter breads are more moist and fat like quick breads. Whereas, muffins contain more sugar and eggs being more sweeter than quick breads","When making muffins, over mixing is actually good because it produces a tenderer and finer interior. Whereas, batter breads are leavened with baking powder, creating a less dense texture.","Batter breads are usually more moist and sweeter than quick breads. Muffins tends to contain less sugar, eggs, and fat than quick breads.","It is easier to put fruits and nuts in a batter bread, than it is with muffins.",C,true 
Chapter 10,10,554,"Baking, Cakes",Describe the difference between batter and muffins compared to quickbreads.,"Muffin batters usually contains less sugar, eggs, and fat than quickbreads.",Batter breads and muffins usually are a little more moist and sweet compared to quickbreads.,They isn't a difference between these breads/cakes,Both A and B,D,true 
Chapter 10,10,554,"Baking, pH",Describe why certain foods (such as blueberries or sunflower seeds) may turn disconcerting colors when added to bread and muffin batters.,They may be affected by an increase in pH due to alkaline pockets from either too much baking soda or insufficiently mixed batter.,They may begin to be broken down by the yeast in the batter if it has been left stagnant for too long.,The batter may have too many air pockets due to insufficient mixing. This extra air exposure will expedite the process of these solid ingredients going bad.,"There may not be enough sugar in the batter to help keep the solid ingredients' natural sugars from breaking down, leading to a change in color.",A,true 
Chapter 10,10,559,"Baking, Heat Transfer","Summarize why different cake pans (glass, metal, silicone, etc.) have a different effect on their contents during baking.",Different pans will affect the rate and distribution of heat during baking.,Cakes will expand to the size and shape of the chosen pan affecting it's final volume.,"Batter will cause different chemical reactions depending on the cake pan type, affecting final flavor.","When cake batter heats in a pan, gas bubbles rise and expand, the wrong pan type can constrict this process.",A,true 
Chapter 10,10,556,Baking,Describe what provides the most moisture in cake baking.,"Flour, because it is moist by nature","Eggs, because they are 75% water","Sugar, because sweetness adds moisture as well","Vegetable oil, because it is a liquid",B,true 
Chapter 10,10,550,Baking,Describe thin batter foods.,bitter,tender,rich,salty,B,true 
Chapter 10,10,554,"Baking, pH",Describe why blueberries in muffin batter turn green.,The uneven dispersion of fat can_验t protect much of the starch,Overmixing produces coarse tunnels in a less tender interior,Uneven dispersion of baking soda causes concentrated alkaline,Sugar and fat weaken the structure by interrupting starch network,C,true 
Chapter 10,10,558,Baking,What are the three stages of cake baking?,"rising, setting, cooling","expansion, setting, browning","expansion, rising, browning","rising, expansion, browning",B,true 
Chapter 10,10,559,Baking,Describe what the importance is of having a good pan for baking a cake.,It doesn't matter what pan you use.,The pan matters because of the batter volume of the cake.,The pan isn't important as long as the cake covers the entire pan.,The pan is important so the cake can cook the correct amount of time.,B,true 
Chapter 10,10,558,Baking,Identify the three stages of cake baking.,"expansion, setting, and browning","preparation, setting, and browning","preparation, gases formed, and coagulation","setting, coagulation, and browning",A,true 
Chapter 10,10,558,Baking,Describe the 3 stages of baking a cake.,"aeration, leavening, and expansion","expansion, setting, and browning","mixing, expansion, and coagulation","setting, expansion, and leavening",B,true 
Chapter 10,10,558,Baking,Describe what happens during the final stage of cake baking?,The risen batter is set into its permanent shape by oven heat,Batter solidification is complete,"The batter sets slowly, producing a heavy texture and upper surface skins",The batter expands to its full volume,B,true 
Chapter 10,10,557,"Baking, Lipids",___________ is the traditional cake fat.,Flour,Water,Sugar,Butter,D,true 
Chapter 10,10,9,"Baking, Lipids, Water, Molecules","Based on the reading, the author said what two substance cannot mix with water because of how different their chemical nature?",Cheese and milk,Fat and oil,Milk and fat,Oil and milk,B,true 
Chapter 10,10,556,"Baking, Lipids",Please describe why some bakers prefer butter over hydrogen shortening.,It is easier to mix.,Butter enhances cake aroma more than hydrogen shortening.,"They prefer the ""salty taste"".",Hydrogen shortening has less flavor than butter but also contains more trans fatty acids.,D,true 
Chapter 10,10,559,Baking,Describe one way to adapt a cake recipe that was meant to be cooked at sea-level for higher altitudes.,Reduce amount of liquid,Increase levels of sugar,Increase levels of fat,Increase amount of liquid,D,true 
Chapter 10,10,558,Baking,Summarize the process of baking cakes:,"Heating, expansion, setting","Expansion, setting, browning","Expansion, setting, cooling","Setting, browning, cooling",A,true 
Chapter 10,10,556,Baking,Describe the 3 Qualities of a Standard Sponge cake.,"Moist, Soft, Rich.","Light, Soft, Dry.","Light, Springy, Sweet","Moist, Springy, Rich",C,true 
Chapter 10,10,555,"Baking, Lipids",Contrast the disadvantages of hydrogenated vegetable shortening and chlorinated flour.,Shortening has a distinctive taste that some may dislike and flour doesn't have the flavor that butter does.,Shortening doesn't have the flavor that butter does and flour has a distinctive taste that some may dislike.,Shortening doesn't melt as easily as butter and flour produces more clumps than non-chlorinated flour.,Shortening is not as healthy as butter and flour produces weaker starch gels.,B,true 
Chapter 10,,556,"Baking, Flour",Summarize the controversy surrounding utilization of chlorinated flour.,Chlorinated flour has a specific taste that isn't pleasing to most chefs and bakers.,Chlorinated flour can be tempered by heat treatment.,Hydrogenated shortening contains serious levels of trans fatty acids.,The safety of chlorinated flour has yet to be proven and so the European Union and United Kingdom have forbade its use.,D,true 
Chapter 10,10,554,Baking,Distinguish what a cake's structure is created mainly by?,Flour starch and by egg proteins,Flour starch and sugar crystals,Egg proteins and sugar crystals,Egg proteins and butter fat,A,true 
Chapter 10,10,554,"Baking, pH","Solid ingredients folded into bread and muffin batters turn disconcerting colors, describe why this occurs?",Alkaline batters don_验t cause their colors to change,The anthocyanin and related pigments  are sensitive to pH and their normal surroundings are acidic,They stale quickly because the small proportion of fat is dispersed unevenly by minimal mixing and can_验t protect much starch,When you dampen solids they release their colors.,B,true 
Chapter 10,10,554,"Baking, pH",Interpret why sometimes solid ingredients turn disconcerting colors.,The solid ingredients were not cut into small enough pieces and cause oxygen to create inconsistent temperatures and the ingredients did not fully combine with the mix.,"The mix contains too much baking soda, the mix was not fully folded or the ingredients are sensitive to the PH levels.",The temperature of the oven was set too high which didn't allow the fats to form air bubbles causing discoloration from uncombined fats.,All of the above,B,true 
Chapter 10,10,556,"Baking, Lipids",The moistening and tenderizing effects of fat in baking can be imitated and described by?,"Zucchinis, Celery, and potatoes","apple, apricot and pear purees","Splenda, Stevia, Equal","Apple, Cucumbers and Splenda",A,true 
Chapter 10,10,557,"Baking, Carbohydrates",Describe the importance of using sugar when making cake.,To tenderize,To provide moisture,To incorporate air,For expansion,C,true 
Chapter 10,10,554,Baking,Summarize the three stages of baking a cake.,"expansion, where the cake expands at full volume. Setting, where the batter is set into its permanent shape, and browning where batter solidification is completed and flavor enhancing browning reactions take place","mixing, where the ingredients are combined together and chemical reactions take place. expansion, where the cake expands at full volume , and baking where the cake is solidified","setting, where the batter is set into permanent shape. baking, where the cake solidifies into its final shape, and browning where flavor enhancing reactions take place","expansion, where the cake expands at full volume. setting, where the batter is set into permanent shape, and cooling where the cake is left to cool and solidify",A,true 
Chapter 10,10,560,Baking,Describe what happens to a cake if you add to much sugar and fat?,"They weaken the cake, causing the cake structure causing it to collapse.",The sugar causes the cake to expand and balloon up causing it to pop.,The cake comes out to sweet making it hard to eat.,"Nothing happens to the cake, it comes out perfectly fine.",A,true 
Chapter 10,10,559,Baking,Summarize why a dull metal pan would cook a cake faster than a shiny one.,The dull one has had more exposure to baking previously which makes it a perfect fit for any occasion.,"Bright surfaces reflect radiant heat, transmit heat poorly to the food they contain, and slow the baking process.","Dull surfaces reflect radiant heat, transmit heat poorly to the food they contain, slow the baking process.","The molecules break down more easily in a dull pan, as there is no push back from the pan material as there is in shiny ones.",B,true 
Chapter 10,10,554,"Baking, pH",Describe what an excess amount of baking soda does to berries and nuts in a mixture.,The nuts will turn blue and the different berries will turn green,The nuts and berries will disintegrate in the oven,The nuts and berries become mushy and bitter,The nuts and berries don't change in consistency,A,true 
Chapter 10,10,554,"Baking, pH","Describe what causes some blueberries, carrots or sunflower seeds to turn green when making bread of muffins.",When there is more sugar and fat than flour in the mixture,"When there is too much baking soda, or when the mixture is not evenly mixed","When there is not an equal mixture of flour, eggs, butter and sugar",When the mixture does incorporate air bubbles,B,true 
Chapter 10,10,556,Baking,What baking product was outlawed by the European Union and the United Kingdom?,Chiffon,Corn Starch,Low-Protein Pastry,Chlorinated Flour,D,true 
Chapter 10,10,558,Baking,Summarize why the way/technique batters for cakes are mixed is important.,"Cake mixing incorporates air bubbles into the mix, which can make the cake taste bad.","Cake mixing involves mixing dry and wet ingredients, which is a tricky task","Cake mixing incorporates air bubbles into the mixture, strongly influencing the final texture of the cake.",None of the above answers are correct.,C,true 
Chapter 10,10,556,Baking,Associate the following with biscuits.,"Moist, Soft, Rich","Moist, springy, very sweet","Light, Springy, Dry","Light, Springy, very sweet",C,true 
Chapter 10,10,558,Baking,Describe why cake bakers use low-protein pastry or cake flowers when baking.,Reduces the amount calories in the cake,Minimizes toughening that comes from gluten formation,Reduces the amount of gluten that is formed,All of the above,B,true 
Chapter 10,10,558,"Baking, Cakes",Describe the second stage of the cake baking process.,The cake is now set in its permanent shape,The cake is now expanding to its fullest volume,The batter solidification process is now complete and the cake is ready for cooling,"This stage involves ""probing"" the cake at its center with a toothpick or wire cake tester",A,true 
Chapter 10,10,558,"Baking, Cakes",Distinguish the three stages of cake baking?,"expansion, setting, cooling","heating, rising, resting","expansion, setting, browning","rising, expansion, browning",C,true 
Chapter 10,10,559,"Baking, Food Science",Describe what recipes work well at sea level but not at high altitudes.,Lasagna,Eggs,Cookies,Cakes,D,true 
Chapter 10,10,558,"Baking, Lipids",Describe the most important role fat plays in the texture of a cake.,It makes the cake taste much better,It creates large pockets of unbaked cake,It holds small air bubbles creating a light airy texture,It holds no air allowing a cake to be thick and dense,C,true 
Chapter 10,10,556,"Baking, Lipids",Describe what happens when baking with animal fat.,Forms large fat crystals that collect large air bubbles that escape the cake,Forms small fat crystals that collect small air bubbles that stay in the cake,Forms small fat crystals that collect small air bubbles and stay in the cake,Forms large fat crystals that collect small air bubbles that escape the cake,A,true 
Chapter 10,10,557,Baking,Describe the process of aerating cakes with fat and sugar.,Ingredients are stirred together with minimal incorporation of air,"Flour, eggs, sugar, and shortening are all beaten together","Sugar is beaten into butter and shortening, with other ingredients being folded in afterwards","Sugar is beaten with whole eggs or egg yolks, with other ingredients being folded in afterwards",C,true 
Chapter 10,10,556,"Baking, Cakes",Summarize the general structure of a cake.,"Eggs, sugar, milk and butter/shortening.","Eggs, sugar, water and butter/shortening.","Eggs, flour, milk and butter/shortening.","Eggs, flour, water and butter/shortening.",B,true 
Chapter 10,10,558,"Baking, Cakes",Describe which of the following is not a part of cake baking?,Heating,Expansion,Browning,Setting,A,true 
Chapter 15,15,4,Food Science,List the 4 molecules that most foods made of.,"Water, proteins, carbohydrates, and fats.","Water, sugars, fats, carbs.","Carbs, fats, vitamins, protein","Carbs, antioxidants, protein, and fats",A,true 
Chapter 15,15,792,"Food Science, Molecules",Classify which basic food molecule is the major component of nearly all foods.,Proteins,Water,"Fats, Oils, and Relative: Lipids",Carbohydrates,B,true 
Chapter 15,15,805,"Food Science, Molecules","Complete the following statement to make it true: ""Carbohydrates and fats are mainly passive forms of stored energy, or structural materials. But __________ are the active machinery of life.""",Lipids,Sugars,Proteins,Energizers,C,true 
Chapter 15,15,797,"Food Science, Lipids",Complete this sentence. Liquids do not mix with water because liquids are _____ and water is _____.,"polar, polar","nonpolar, nonpolar","polar, nonpolar,","nonpolar, polar",D,true 
Chapter 15,15,794,"Food Science, Molecules",Apply your knowledge of the 4 major food molecules: Which molecule is the trickiest and least stable in which condition?,Protein exposed to heat.,Water exposed to cold.,Oil/fats exposed to water.,Carbohydrates exposed to water.,A,true 
Chapter 15,15,801,Food Science,Illustrate the process of hydrogenation.,"Boiling a poly-unsaturated fat to separate the molecules, producing a mono-unsaturated fat.",Crystallizing the carbon molecules to create a fat with a lower melting point.,Extracting the trans-fat from the saturated fat molecule.,Artificially saturate the unsaturated fatty acids by absorbing hydrogen from a nickel catalyst.,D,true 
Chapter 15,15,795,"Food Science, Energy",Apply the process that explains why it takes 10 times the energy to heat an ounce of water 1隷 as it does to heat an ounce of iron 1隷.,hydrogen bonding,vaporization,proton concentration,concentration of protons,A,true 
Chapter 15,15,805,"Food Science, Proteins",Apply the process of why proteins are the most challenging of all major food molecules.,They are challenging because of their passive forms of stored energy.,They are challenging because of their inactive molecules.,They are challenging because they are the active machinery of life.,They are challenging because there are hardly any changes when exposed to heat.,C,true 
Chapter 15,15,799,"Food Science, Lipids",Illustrate the difference in rancidity between saturated and unsaturated fats.,Unsaturated fats are more stable and slower to become rancid.,Saturated fats are more stable and slower to become rancid.,Both saturated and unsaturated fats become rancid at the same rate.,Rancidity is not based on the fat content.,B,true 
Chapter 15,15,793,"Food Science, Molecules",Complete the water molecule by identifying the atom(s) it is composed of.,"One Hydrogen, Two Carbon","One Hydrogen, One Carbon","Two Hydrogens, One Carbon","Two Hydrogens, One Oxygen",D,true 
Chapter 15,15,805,"Food Science, Proteins",Of all the major food molecules classify the one that are the most challenging and mercurial.,Sugars,Water,Protein,Carbohydrates,C,true 
Chapter 15,15,803,"Food Science, Carbohydrates",Which of the following below is classified as a carbohydrate?,Sugar,Aquafina,Steak,Butter,A,true 
Chapter 15,15,798,"Food Science, Lipids, Molecules","Complete the following sentence: A saturated lipid is one whose carbon chain is saturated (filled to capacity) with hydrogen atoms.  There are no double bonds between carbon atoms, so ____________________.",Each carbon within the chain is bonded to two hydrogen atoms,Each carbon within the chain is bonded to one hydrogen atom,Each carbon within the chain bonded to no hydrogen atoms,Each carbon within the chain is bonded to three hydrogen atoms,A,true 
Chapter 15,15,796,"Food Science, pH",Illustrate the right ordering of the pH rate.,Human Gastric Juice --> Lemon Juice --> Milk --> Yogurt,Lemon Juice --> Milk --> Human Gastric Juice --> Yogurt,Yogurt --> Milk --> Human Gastric Juice --> Lemon Juice,Human Gastric Juice --> Lemon Juice --> Yogurt --> Milk,D,true 
Chapter 15,15,799,"Food Science, Lipids","Examine the difference between unsaturated and polyunsaturated fats, giving the BEST answer to the question.",Unsaturated has more bonds than polyunsaturated.,olyunsaturated has more bonds than unsaturated.,Polyunsaturated is a fat molecule with more than one double bond.,Unsaturated is a fat molecule with more than one double bond.,C,true 
Chapter 15,15,794,Food Science,"Apply the correct term to the function that causes water to become ice, and ice to eventually become water.",Dissolution,Transformation,Vaporization,Hydrogen Bonding,B,true 
Chapter 15,15,808,Food Science,Whether or not a protein is soluble in water depends on:,"How many protons are bound to the nucleus, and if any electrons are nearby.","The bond strength between molecules, and on whether or not water can separate the molecules from each other by hydrogen bonding.",If the enzymatic activity is high enough to allow distribution in water.,How much you shake your work out bottle.,B,true 
Chapter 15,15,809,Food Science,Classify why enzymes are so important to people when they cook.,Direct contribution to the food texture and consistency,"They change other components of the food and because food contains enzymes that once did important work for the plant or animal when it was alive. Yet, it cannot harm the food by changing color, texture, taste and nutrition",It slows down the growth of spoilage microbes and the food own enzymes,The reactivity of most chemicals increase with the increasing of temperature,B,true 
Chapter 15,15,802,Food Science,Classify lecithin as one of the four basic food molecules.,Water.,Proteins.,Carbohydrates.,Fats and Oils.,D,true 
Chapter 15,15,798,Food Science,"What is the term ""saturated"" referring to when saturated fats (lipids) are discussed.",A saturated fat has a maximum amount of carbon atoms which form bonds between the atoms.,A saturated lipids carbon chains are filled to capacity with hydrogen atoms there are no double bonds between carbon atoms.,"The term saturated is used to describe lipids in solid form only, not liquid form.",Saturated lipids permeate whatever other food molecules they encounter during cooking.,B,true 
Chapter 15,15,797,Food Science,Examine the relationship between lipids and water.,They mix together well,Lipids are largely compatible with water,They basically have the same structure,Lipids form boundaries between watery cells,D,true 
Chapter 15,15,793,Food Science,Complete this sentence water has how many atoms?,10,5,3,2,C,true 
Chapter 15,15,793,Food Science,Classify water molecule in terms of its chemical polarity.,Polar,Nonpolar,Ionic,Dipolar,A,true 
Chapter 15,15,792,Food Science,"Complete the four basic food molecules, proteins, carbohydrates, fats and ______.",oxygen,air,water,dairy,C,true 
Chapter 15,15,793,Food Science,How much percent of our body is water?,60%,70%,75%,95%,A,true 
Chapter 15,15,809,Food Science,"Which group of proteins can change the color, texture, taste, or nutrition of the food?",Amino acids,Enzymes,Peptides,Denaturation,B,true 
Chapter 15,15,801,Food Science,Examine hydrogenation of unsaturated fats.,Hydrogen atoms are artificially added to unsaturated fats,Hydrogen atoms are artificially removed from unsaturated fats.,Hydrogen and oxygen atoms are artificially added to unsaturated fats.,None of the above,A,true 
Chapter 15,15,802,Food Science,Classify the types of emulsifiers.,"Hydrogenation, Physpholipids, Polysaccharides","Polysaccharides, Hydrogenation, Monoglycerides","Physpholipids, Polysaccharides, Oligosaccharides","Physpholipids, Lecithin, Monoglycerides",D,true 
Chapter 15,15,794,Food Science,Finish the sentence.  Water _____________.,Contracts after it freezes,Stays the same after it freezes,Expands after it freezes,Depends on how cold the air is,C,true 
Chapter 15,15,793,"Food Science, Emulsions",What is water made up of?,H20,H20 and nitrogen,"H20, hydrogen, and oxygen","H20, hydrogen, and nitrogen",C,true 
Chapter 15,15,797,"Food Science, Lipids",Please classify which chemical family oils and fats belong to.,Liquids,Lipids,Aminos,Protiens,B,true 
Chapter 15,15,795,"Food Science, Energy",Examine the following statements about water and heat.  Select the false statement.,Water heats up faster than oil.,Oil heats up faster than water.,Water stays hot longer than oil.,Water absorbs a lot of energy before its temperature rises.,A,true 
Chapter 15,15,800,"Food Science, Meat",Illustrate why beef has a longer shelf life than chicken.,It has more saturated fatty acids than chicken.,It has more unsaturated fatty acids than chicken.,Beef does not have a longer shelf life than chicken.,It has more monounsaturated fatty acids than chicken.,A,true 
Chapter 15,15,793,"Food Science, Water",Apply the readings and identify the most significant statement about water.,Water is the critical component in most foods.,What molecules is water composed of? List them.,Water molecules are electrically unsymmetrical,Our bodies are totally composed of water.,A,true 
Chapter 15,15,796,"Food Science, Lipids",What is NOT a reason fats and oils are invaluable in the kitchen?,They provide flavor and a pleasurable and persistent smoothness,They tenderize many foods by permeating and weakening their structures,"They're a cooking medium that allow us to heat foods well above the boiling point of water, drying out the surface to produce a crisp texture and rich flavo",They have a unique taste that some people refer to as umami,D,true 
Chapter 15,15,803,"Food Science, Carbohydrates",What classifies carbohydrates?,Carbon,Carbon and cold water,"Carbon, hydrogen, and oxygen atoms",Carbon and oil,C,true 
Chapter 15,15,793,"Food Science, Molecules","Complete the sentence: In a hydrogen bond, hydrogen molecules like to _____?",Split in two,Repel from each other,Break apart,Attract each other,D,true 
Chapter 15,15,796,"Food Science, pH",Apply the information from this section to show which solution has a proton-accepting PH level.,Lemon Juice,Baking soda in water,Orange Juice,Milk,B,true 
Chapter 15,15,792,"Food Science, Molecules","Complete the sentence: ""The four basic food molecules consists of water, fats and oils, carbohydrates, and _______.""",sugars and starches,lipids and liquids,proteins,amino acids and polymers,C,true 
Chapter 15,15,797,"Food Science, Lipids",Classify a lipid.,Protein,Water,Fats and Oils,Carbohydrates,C,true 
Chapter 15,15,793,"Food Science, Water",Examine why water clings to itself.,"The motion in each body of water is strong enough to break hydrogen bonds, so they must constantly keep bonding and re-bonding.","The atoms in each molecule of water are chemically attracted to other H2O atoms, and thus cling to each other in order to form greater bonds and bodies of water.","Each water molecule has a positive and negative end, hydrogen being the positive end, and oxygen being the negative one. The positive ends from one molecule attract to the negative ends of another, and vise versa.","Polarity does not exist within H2O molecules, thus they are free to bind with each other and feel very compelled to do so, as without polarity there is no limit to how many other molecules they can bind to.",C,true 
Chapter 15,15,801,"Food Science, Lipids",How do melting points apply to fats.,"Fats don't have a specific melting point, instead they melt over a broad temperature range",Each fat has a different melting point that is specific to the molecules that are within the fat,Fats start to melt at room temperature despite the molecule makeup of the fat,"Fats are like sugar, where rather than melting they dissolve within a liquid, meaning there is no melting point.",A,true 
Chapter 15,15,795,"Food Science, Energy",What is specific heat?,The amount of condensed  water absorbs with a rise in elevation,The amount of energy required to raise its temperature by a given amount,The strong effects on how water absorbs and transmits heat,Conversion of water vapor into controlled temperature heat,B,true 
Chapter 15,15,797,"Food Science, Lipids, Molecules",Complete the following sentence: Fats and oils are a part of the large chemical family called the ________.,Lipids,Trans fatty acids,Ruminants,Emulsifiers,A,true 
Chapter 15,15,794,"Food Science, Molecules","When introduced to proteins and carbohydrates molecules, water will:",surround and separate the molecules,destroy the molecules,Move away from the molecules,Expand the molecules,A,true 
Chapter 15,15,796,"Food Science, pH",Calculate the pH level of lemon juice.,5,5.1,2.1,8.4,C,true 
Chapter 15,15,806,"Food Science, Molecules","Classify the following description to the closest of the four basic food molecules: This particular contributor participates in the browning process that generates flavor at high cooking temperatures additionally, these provide either a sweet or bitter flavor.",Hemicelluloses and Pectic Substances,Inulin,Amino Acids and Peptides,Trans Fatty Acids,C,true 
Chapter 15,15,805,"Food Science, Proteins",Solve which major food molecule is the most challenging and mercurial.,Sugar,Protein,Carbohydrates,Fats,B,true 
Chapter 15,15,793,"Food Science, Water",Please complete this sentence.  _______ is our most familiar chemical companion.,Water,Oxygen,Fat,Protein,B,true 
Chapter 15,15,804,"Food Science, Molecules",Which polymers compose polysaccharides?,Protein,Fat,Sugar,Enzyme,C,true 
Chapter 15,15,795,"Food Science, Water, Energy",Illustrate what needs to happen for water to boil.,Energy must break down the carbon bonds,energy must break the hydrogen bonds so that the molecules are free to move faster,energy must break down the oxygen bonds,energy must build up hydrogen bonds to clump together so the molecules move slower,B,true 
Chapter 15,15,809,"Food Science, Proteins","Apply your knowledge about enzymes: Why is it important to heat food quickly, rather than slowly when thinking about countering the actions of enzymes if one does not want the action of the enzyme to break down their food?","Cooking food in such a way that it heats up rapidly minimizes the time in which the enzyme reaches its point of denaturation, thereby minimizing the possibility of the enzyme's reaction having destructive results on the food.","Cooking food in such a way that it heats up rapidly maximizes the time in which the enzyme reaches its point of denaturation, thereby maximizing the possibility of the enzyme's reaction having destructive results on the food.","Cooking food and heating it rapidly to account for the effects of enzymes is unnecessary, and is not a fact that should be accounted for in the cooking process.",Cooking food and heating it so that the temperature change is gradual is only something that needs to be accounted for if one is tenderizing meat.,A,true 
Chapter 15,15,795,"Food Science, Energy",Demonstrate the relationship between heat and time in the following example: Judy is running late for work. She wants to cook something up fast! Which choice makes the most sense for Judy?,Judy should boil and egg in water.,Judy should make instant Mac and cheese (involving water boiling),Judy should cook an egg on an iron pan,Judy should cook a steak on an iron pan,C,true 
Chapter 15,15,792,"Food Science, Molecules",Identify the four basic food molecules.,"water, minerals, eggs, vitamins","milk, meat, water, butter","chicken, beef, pork, fish","water, fats & oils, carbohydrates, proteins",D,true 
Measurement Appendix,17,2,Measurement,Describe why is weight more accurate for measuring.,It is easier and faster for chefs to measure by weight.,Weight leaves less room for error and is more precise.,Its personal preference.,Volume is just as effective and accurate.,B,true 
Measurement Appendix,17,3,Measurement,Identify how recipes written from home cooks defers from professional cooks.,Home cooks rely on volume for measurement,Professional cooks rely on volume for measurement,Home cooks rely on weight for measurement,They both rely on volume for measurement,A,true 
Measurement Appendix,17,3,Measurement,Identify the most accurate way of measuring.,Fill a tablespoon with liquid,Use a liquid measuring cup for a cup of flour,Using a measuring spoon to add salt,Weighing each ingredient,D,true 
Measurement Appendix,17,4,Measurement,Describe the most accurate way to measure.,"Using the correct measuring cups for liquids (clear, with pour spouts) and the correct measuring cups for dry ingredients (long handles, flat tops).","Using the ""dip and sweep"" method (dry), and getting down to eye level (liquids).",Using the metric system rather than traditional or imperial method of measurement.,Using a scale.,D,true 
Measurement Appendix,17,2,Measurement,Identify what most modern cooks don't comprehend.,How they Measure is as important as the act of measuring.,Measuring is most effective when done in metric.,Measuring should be done with measuring utensils.,How they measure isn't as important as the fact that they try to measure.,A,true 
Measurement Appendix,17,2,Measurement,Tell what cooks in the kitchen did before standardized measurements.,They used their best guess and would reattempt if failed,They kept it simple and hardly used ingredients that required measuring,They learned from someone else and stuck to the same recipes,They used their best guess and accepted the outcome,C,true 
Measurement Appendix,17,4,Measurement,Describe the difference between dry and liquid measuring cups.,There is no difference between the two. Both are relatively accurate.,Dry measuring cups have flat tops to sweep off excess. Wet measuring cups have lines below the brim.,Wet measuring cups have flat tops to make for accurate measuring. Dry measuring cups have handles and clear glass for accurate readings.,The differences are based on a combination of style and personal preferences.,B,true 
Measurement Appendix,17,2,Measurement,Describe the difference between recipes written for home cooks versus for professional cooks.,Home cook recipes are easier to understand,Professional recipes utilize a weighted measurement,Ingredients in professional recipes are higher quality,Home cook recipes serve a small amount of people,B,true 
Measurement Appendix,17,2,Measurement,Identify the woman who suggested that the readers of her cookbook purchase true measuring cups.,Betty Crocker,Julia Child,Martha Stuart,Fannie Farmer,D,true 
Measurement Appendix,17,3,Measurement,Identify the measurement system used by chefs outside of the United States.,Kelvin,Metric,Ounces,Standard,B,true 
Measurement Appendix,17,2,Measurement,"Who is the writer of the the book ""The Boston Cooking School Cook Book"" in 1896?",Fannie Lou Hammer,Thomas Jefferson,George Washington,Fannie Merritt Farmer,D,true 
Measurement Appendix,17,4,Measurement,Identity the proper technique for measuring dry and liquid ingredients,Sink and Dink,Scoop and Level,Fill and Pour,Dip and Sweep,D,true 
Measurement Appendix,17,4,Measurement,Identify which of following measuring cups standard is not a common measure standard.,1/5 cup,1/4 cup,1/3 cup,1 cup,A,true 
Measurement Appendix,17,3,Measurement,Describe why professionals prefer measuring in weight vs. volume.,It's easier for people to understand.,Weight provides no chance for operational error.,Volume does not provide and accurate representation of the amount.,Weight is used most commonly among everyday cooks.,B,true 
Measurement Appendix,17,4,Measurement,"Name the type of measuring apparatus generally made of metal or plastic, and has long handles and flat tops which make sweeping off excess material easier.",Measuring Spoons,Liquid Measuring Cups.,Dry Measuring Cups.,Highball Cups.,C,true 
Measurement Appendix,17,4,Measurement,"When measuring dry foods, which measuring tool do you have to use for the best results?",Liquid Measuring Cups,Dry Measuring Cups,Dry Measuring Cups and Measuring Spoons,All of the above,C,true 
Measurement Appendix,17,3,Measurement,Cooks using recipies in different countries should be aware because ___________.,Key ingredients do not always taste and feel the same. A flour mill in the United states might feel a little different from the flour mill in the United Kingdom.,Ingredients in different regions have different vitamins and proteins.,Both A and B,None of these,A,true 
Measurement Appendix,17,3,Measurement,Tell one reason why professionals prefer weight to volume when measuring ingredients.,To avoid the variance that comes with different methods of measuring volume.,Weight is easier to judge than volume if one does not have measuring tools.,Standardized measures for weights have been around since long before standardized measures for volume.,Cooking times are easier to estimate for weights than volumes.,A,true 
Measurement Appendix,17,4,Measurement,Tabulate the total volume in cup measurements of 8 tablespoons of flour.,1/4 cup flour,1/2 cup flour,1/3 cup flour,1/8 cup flour,B,true 
Measurement Appendix,17,4,Measurement,One tablespoon is equal to _______.,1/3 of a cup,2 cups,6 teaspoons,3 teaspoons,D,true 
Measurement Appendix,17,3,Measurement,Identify the more precise way of measuring.,By volume,By spoons,By weight,By cups,C,true 
Measurement Appendix,17,4,Measurement,Identify the techniques used in measuring dry ingredients.,fill and swoosh,pack and push,dip and sweep,dip and shake,C,true 
